iter	RMSE
210	0.1208146057
211	0.1208028971
212	0.1207882663
213	0.1207753793
214	0.1207627711
215	0.1207537126
216	0.1207374363
217	0.1207280229
218	0.1207139264
219	0.1207035355
220	0.1206961365
221	0.1206959169
222	0.1206812286
223	0.1206702883
224	0.1206655929
225	0.1206602955
226	0.1206532682
227	0.1206460308
228	0.1206322347
229	0.1206237446
230	0.1206112521
231	0.1206042658
232	0.1205948021
233	0.1205872234
234	0.1205766324
235	0.1205675179
236	0.1205622479
237	0.1205620767
238	0.1205511628
239	0.1205424606
240	0.120530797
241	0.1205222248
242	0.1205084682
243	0.1204948633
244	0.1204856871
245	0.1204755721
246	0.1204690455
247	0.1204656872
248	0.1204571122
249	0.1204493745
250	0.1204376561
251	0.1204326546
252	0.1204268085
253	0.1204228172
254	0.1204212225
255	0.1204211065
256	0.1204116216
257	0.1204051967
258	0.1203926104
259	0.1203882545
260	0.1203769826
261	0.1203719632
262	0.1203646135
263	0.1203603342
264	0.1203556528
265	0.1203490424
266	0.1203466724
267	0.1203359307
268	0.1203356515
269	0.1203330797
270	0.1203322417
271	0.1203307978
272	0.1203293483
273	0.1203201236
274	0.120319897
275	0.1203162884
276	0.1203065357
277	0.1202888369
278	0.1202768357
279	0.1202766257
280	0.1202746262
281	0.1202616087
282	0.1202535041
283	0.1202490065
284	0.120239705
285	0.1202284105
286	0.1202198494
287	0.1202144379
288	0.1202065336
289	0.1201987464
290	0.1201880081
291	0.1201848568
292	0.1201748346
293	0.1201617784
294	0.1201509278
295	0.1201402414
296	0.1201302605
297	0.1201194927
298	0.1201129823
299	0.1201099751
300	0.1201091199
301	0.1201004684
302	0.1200891681
303	0.1200854075
304	0.1200742643
305	0.1200732192
306	0.1200697962
307	0.1200549765
308	0.1200502216
309	0.1200427047
310	0.1200341723
311	0.1200297892
312	0.1200196034
313	0.1200135657
314	0.1200119081
315	0.1200069639
316	0.1200012468
317	0.1199995638
318	0.1199950356
319	0.1199904531
320	0.1199830847
321	0.1199760415
322	0.119972565
323	0.1199716245
324	0.1199702225
325	0.1199672148
326	0.1199657392
327	0.1199638533
328	0.1199630302
329	0.1199540149
330	0.1199500858
331	0.119949816
332	0.1199484501
333	0.1199460903
334	0.1199415781
335	0.1199368185
336	0.1199302102
337	0.1199249559
338	0.1199230549
339	0.1199219583
340	0.1199212303
341	0.1199149877
342	0.1199144393
343	0.1199097041
344	0.1199012544
345	0.1199001545
346	0.1198915247
347	0.1198899262
348	0.1198759638
349	0.1198738889
350	0.1198709002
351	0.1198687867
352	0.1198622876
353	0.1198568293
354	0.1198558799
355	0.1198536399
356	0.1198434289
357	0.1198360197
358	0.1198319085
359	0.1198236726
360	0.119818429
361	0.1198126242
362	0.1198104969
363	0.1197996196
364	0.119796345
365	0.1197893755
366	0.1197783723
367	0.1197726412
368	0.1197651947
369	0.1197637609
370	0.1197621679
371	0.1197607614
372	0.1197528081
373	0.1197463885
374	0.1197455475
375	0.1197385994
376	0.1197323489
377	0.1197316198
378	0.1197243959
379	0.1197137047
380	0.1197129973
381	0.1197118067
382	0.1197072323
383	0.1197019178
384	0.119694044
385	0.1196927963
386	0.1196846958
387	0.119679621
388	0.1196712587
389	0.1196706054
390	0.119664805
391	0.119657403
392	0.119654036
393	0.1196525666
394	0.1196508528
395	0.119643815
396	0.1196385841
397	0.1196379019
398	0.1196335717
399	0.1196268677
400	0.1196197414
401	0.1196172351
402	0.1196144154
403	0.1196060637
404	0.1195947945
405	0.11959167
406	0.1195900758
407	0.1195885965
408	0.1195851041
409	0.1195845398
410	0.1195843185
411	0.1195755389
412	0.1195726613
413	0.1195719579
414	0.1195678225
415	0.119560889
416	0.1195586977
417	0.1195472526
418	0.1195407084
419	0.1195323478
420	0.1195295296
421	0.1195240675
422	0.1195237644
423	0.1195180755
424	0.1195109755
425	0.119509249
426	0.119505377
427	0.1195024353
428	0.1194944932
429	0.1194878637
430	0.1194856383
431	0.1194785653
432	0.1194668841
433	0.1194625508
434	0.1194623527
435	0.1194580849
436	0.1194521059
437	0.1194491551
438	0.1194418871
439	0.1194317252
440	0.119425213
441	0.1194247607
442	0.1194244864
443	0.1194128815
444	0.119406668
445	0.1194027368
446	0.1193933291
447	0.1193899738
448	0.1193842319
449	0.1193760351
450	0.1193736425
451	0.1193667009
452	0.1193650074
453	0.1193628831
454	0.119360691
455	0.1193588957
456	0.119352562
457	0.1193411515
458	0.1193322984
459	0.1193303101
460	0.1193260564
461	0.1193153044
462	0.1193122562
463	0.1193056251
464	0.1192993673
465	0.1192958031
466	0.119291526
467	0.1192897216
468	0.1192812507
469	0.1192778093
470	0.1192760986
471	0.1192658561
472	0.1192635136
473	0.119259977
474	0.1192575684
475	0.119256968
476	0.1192480256
477	0.1192389926
478	0.1192364942
479	0.119230388
480	0.1192233251
481	0.1192156918
482	0.1192049439
483	0.1191969681
484	0.119189067
485	0.119188221
486	0.1191832795
487	0.1191723653
