iter	Passed	Remaining
416	2505	3502
417	2510	3495
418	2518	3491
419	2527	3489
420	2532	3483
421	2540	3479
422	2543	3469
423	2548	3462
424	2555	3457
425	2558	3447
426	2563	3439
427	2567	3430
428	2573	3425
429	2578	3418
430	2584	3411
431	2590	3405
432	2598	3402
433	2604	3396
434	2608	3387
435	2613	3380
436	2619	3374
437	2622	3365
438	2629	3359
439	2634	3352
440	2640	3347
441	2644	3338
442	2648	3330
443	2655	3325
444	2659	3317
445	2665	3311
446	2671	3305
447	2676	3297
448	2681	3290
449	2687	3285
450	2695	3280
451	2704	3278
452	2710	3272
453	2714	3265
454	2720	3258
455	2725	3251
456	2736	3251
457	2743	3247
458	2748	3239
459	2754	3234
460	2763	3230
461	2775	3232
462	2781	3226
463	2789	3222
464	2796	3217
465	2801	3210
466	2810	3207
467	2815	3200
468	2826	3200
469	2835	3197
470	2841	3191
471	2849	3188
472	2854	3179
473	2860	3173
474	2864	3165
475	2868	3157
476	2874	3151
477	2881	3146
478	2885	3138
479	2892	3133
480	2898	3127
481	2905	3123
482	2912	3117
483	2919	3112
484	2927	3108
485	2931	3100
486	2939	3096
487	2944	3089
